,date_time,mid,instrument
648,2019-02-01 11:34:59,105.306,J
649,2019-02-01 11:39:59,112.814,I
650,2019-02-01 11:44:59,112.823,I
651,2019-02-01 11:49:59,101.195,C
652,2019-02-01 11:54:59,101.197,C
653,2019-02-01 11:59:59,101.723,A
654,2019-02-01 12:04:59,107.958,H
655,2019-02-01 12:09:59,105.278,J
656,2019-02-01 12:14:59,105.285,J
657,2019-02-01 12:19:59,101.177,C
658,2019-02-01 12:24:59,112.833,I
659,2019-02-01 12:29:59,105.295,J
660,2019-02-01 12:34:59,106.334,B
661,2019-02-01 12:39:59,112.796,I
662,2019-02-01 12:44:59,125.415,K
